gid,pk,pk_vaw,pk_sgi,name_full,name_short
1236,816a8e70-4ec8-11e8-bbfa-985fd331b2ee,NULL,A51d-14,Tschingelfirn (Tschingelstock),
1237,815fe00f-4ec8-11e8-86a6-985fd331b2ee,NULL,A51d-16,Oberälpler,
1238,815a13b0-4ec8-11e8-8960-985fd331b2ee,NULL,A51d-18,Staldenfirn,
1239,8144b6ee-4ec8-11e8-aedd-985fd331b2ee,NULL,A51d-30,Rienzenstock,
1240,81572d80-4ec8-11e8-8e50-985fd331b2ee,NULL,A51d-19,Bächenfirn (Oberalpstock),
1241,81538400-4ec8-11e8-86cf-985fd331b2ee,NULL,A51d-20,Stöcklifirn,
1242,814c09f0-4ec8-11e8-85c6-985fd331b2ee,NULL,A51d-23,Spillauibielfirn,
1243,81494acf-4ec8-11e8-af8b-985fd331b2ee,NULL,A51d-25,Stockfirn,
1244,8148ae8f-4ec8-11e8-b2cd-985fd331b2ee,NULL,A51d-26,Hangfirn (Bristen),
1245,8147c42e-4ec8-11e8-8145-985fd331b2ee,NULL,A51d-27,Bristen,
1246,814727f0-4ec8-11e8-bb0c-985fd331b2ee,NULL,A51d-28,Chlüser,
1247,8145a14f-4ec8-11e8-816f-985fd331b2ee,NULL,A51d-29,Bächenfirn (Rienzenstock),
1248,bb1de988-74a9-11ea-bc55-0242ac130003,NULL,A51d-34,Hinter Stöckli,
1249,bb1de8c0-74a9-11ea-bc55-0242ac130003,NULL,A51d-35,Stöcklifirn E,
1250,81452c1e-4ec8-11e8-b6d0-985fd331b2ee,NULL,A51d-31,Bächenstock,
1251,df0ae9f0-7a05-11ec-90d6-0242ac120003,NULL,A51d-33,Gemsplanggenstöckli,
1252,df0aec5c-7a05-11ec-90d6-0242ac120003,NULL,A51d-37,Hälsigrat,
1253,df0aedd8-7a05-11ec-90d6-0242ac120003,NULL,A51d-39,Spillauisee,
1254,df0aef04-7a05-11ec-90d6-0242ac120003,NULL,A51d-40,Spillauibielen,
1255,81463d8f-4ec8-11e8-a3ab-985fd331b2ee,NULL,A51e-03,Pizzo di Froda,
1256,df0b12a4-7a05-11ec-90d6-0242ac120003,NULL,A51e-07,Gitziälpetlilücke,
1257,8143a580-4ec8-11e8-be04-985fd331b2ee,NULL,A51e-09,Hinter Gurschenälpetli,
1258,bb1dea46-74a9-11ea-bc55-0242ac130003,NULL,A51d-36,Stöcklifirn W,
1259,814441c0-4ec8-11e8-8575-985fd331b2ee,NULL,A51e-05,Unter Satzfirn,
1260,8142940f-4ec8-11e8-8e56-985fd331b2ee,NULL,A51e-06,Ober Satzgletscher,
1261,823b7300-4ec8-11e8-af60-985fd331b2ee,NULL,A51e-11,Gemsstock,
1262,df0af170-7a05-11ec-90d6-0242ac120003,NULL,A51e-15,Pizzo della Valletta,
1263,df0af422-7a05-11ec-90d6-0242ac120003,NULL,A51e-17,Stägenhorn,
1264,df0af558-7a05-11ec-90d6-0242ac120003,NULL,A51e-19,Passo di Cavanna,
1265,df0af666-7a05-11ec-90d6-0242ac120003,NULL,A51e-21,Rottällihorn,
1266,df0af77e-7a05-11ec-90d6-0242ac120003,NULL,A51e-28,Gross Muttenhorn,
1267,813f119e-4ec8-11e8-9d64-985fd331b2ee,NULL,A51e-13,Gupisfirn,
1268,81089851-4ec8-11e8-9a9c-985fd331b2ee,NULL,A51e-22,Rottälli,
1269,80fb2acf-4ec8-11e8-9ebd-985fd331b2ee,NULL,A51e-24,Chli Mutten,
1270,80f648cf-4ec8-11e8-b90c-985fd331b2ee,NULL,A51e-25,Gross Mutten,
